Rozmiar mapy tagow: 237
Tag{id=88, value='Science fiction'}: 12
Tag{id=92, value='Istoty pozaziemskie'}: 8
Tag{id=56, value='Fantasy'}: 7
Tag{id=226, value='Fantastyka'}: 6
Tag{id=103, value='Tożsamość osobista'}: 5
Tag{id=30, value='Miłość'}: 5
Tag{id=27, value='Pamięć autobiograficzna'}: 5
Tag{id=122, value='Polska'}: 5
Tag{id=97, value='Kobieta'}: 5
Tag{id=87, value='Rzeczywistość alternatywna'}: 4
Tag{id=31, value='Stany Zjednoczone (USA)'}: 4
Tag{id=94, value='ZSRR'}: 4
Tag{id=312, value='Dystopia'}: 4
Tag{id=91, value='Ziemia'}: 3
Tag{id=14, value='Warszawa (woj. mazowieckie)'}: 3
Tag{id=169, value='Zabójstwo'}: 3
Tag{id=42, value='Dziewczęta'}: 3
Tag{id=134, value='Amerykanie'}: 2
Tag{id=133, value='Emigracja'}: 2
Tag{id=127, value='Dzieciństwo'}: 2
Tag{id=148, value='Tajemnica'}: 2
Tag{id=54, value='Magia'}: 2
Tag{id=111, value='Dzieci'}: 2
Tag{id=26, value='Loty kosmiczne'}: 2
Tag{id=429, value='Komunizm'}: 2
Tag{id=38, value='Obyczaje i zwyczaje'}: 2
Tag{id=34, value='Ludzie bogaci'}: 2
Tag{id=328, value='Organizmy transgeniczne'}: 2
Tag{id=351, value='Horror'}: 2
Tag{id=206, value='Kanada'}: 2
Tag{id=28, value='II wojna światowa (1939-1945)'}: 2
Tag{id=29, value='Sekrety rodzinne'}: 2
Tag{id=112, value='Imigranci'}: 2
Tag{id=12, value='Relacje międzyludzkie'}: 2
Tag{id=55, value='Krew'}: 2
Tag{id=231, value='Przemoc wobec kobiet'}: 2
Tag{id=220, value='Kryminał'}: 2
Tag{id=149, value='Prześladowania polityczne'}: 2
Tag{id=93, value='Telepatia'}: 2
Tag{id=124, value='Stalinizm'}: 2
Tag{id=242, value='Wojna'}: 2
Tag{id=135, value='Matki i synowie'}: 2
Tag{id=224, value='Przyjaźń'}: 2
Tag{id=130, value='Rodzina'}: 2
Tag{id=189, value='Podróże'}: 2
Tag{id=336, value='Paryż (Francja)'}: 2
Tag{id=57, value='Smoki (stworzenia fantastyczne)'}: 2
Tag{id=339, value='Władza'}: 1
Tag{id=230, value='Migracje'}: 1
Tag{id=384, value='Oniryzm'}: 1
Tag{id=433, value='Sieroty wojennne'}: 1
Tag{id=123, value='Węgry'}: 1
Tag{id=310, value='Ludobójstwo w Rwandzie (1994)'}: 1
Tag{id=100, value='Węgrzy'}: 1
Tag{id=390, value='Gry komputerowe'}: 1
Tag{id=37, value='Kolekcjonerzy'}: 1
Tag{id=432, value='Litwa'}: 1
Tag{id=170, value='Tygrys'}: 1
Tag{id=285, value='Monopole'}: 1
Tag{id=208, value='Kara dożywotniego pozbawienia wolności'}: 1
Tag{id=337, value='Katastrofy'}: 1
Tag{id=298, value='Laboratoria'}: 1
Tag{id=274, value='Przestrzeń kosmiczna'}: 1
Tag{id=428, value='Mińsk (Białoruś)'}: 1
Tag{id=151, value='Saga rodzinna'}: 1
Tag{id=194, value='Stany Zjednoczone (część zachodnia)'}: 1
Tag{id=359, value='Katastrofy lotnicze'}: 1
Tag{id=286, value='Rzeczywistość wirtualna'}: 1
Tag{id=449, value='Piechota zmechanizowana'}: 1
Tag{id=352, value='Puby'}: 1
Tag{id=241, value='Historia alternatywna'}: 1
Tag{id=379, value='Kontrterroryzm'}: 1
Tag{id=344, value='Lekarze'}: 1
Tag{id=376, value='Wojna 2003-2010 r. amerykańsko-iracka'}: 1
Tag{id=162, value='Polityka'}: 1
Tag{id=441, value='Księżyc'}: 1
Tag{id=358, value='Ocean Spokojny'}: 1
Tag{id=35, value='Stambuł (Turcja)'}: 1
Tag{id=205, value='Procesy sądowe'}: 1
Tag{id=334, value='Bohema'}: 1
Tag{id=254, value='Media społecznościowe'}: 1
Tag{id=442, value='Demony'}: 1
Tag{id=309, value='Burundi'}: 1
Tag{id=199, value='Kolonializm'}: 1
Tag{id=443, value='Lublin (woj. lubelskie)'}: 1
Tag{id=17, value='Życie codzienne'}: 1
Tag{id=297, value='Mars (planeta)'}: 1
Tag{id=401, value='Inżynieria genetyczna'}: 1
Tag{id=239, value='Rozstanie'}: 1
Tag{id=283, value='Wirusy komputerowe'}: 1
Tag{id=75, value='Hiszpania'}: 1
Tag{id=266, value='Seksualność'}: 1
Tag{id=305, value='Erotyzm'}: 1
Tag{id=118, value='Złoty Pawilon (Kioto)'}: 1
Tag{id=237, value='Meksyk'}: 1
Tag{id=289, value='Hibernacja'}: 1
Tag{id=221, value='Nastolatki'}: 1
Tag{id=375, value='Futbol amerykański'}: 1
Tag{id=440, value='Rabini'}: 1
Tag{id=203, value='Wielojęzyczność'}: 1
Tag{id=243, value='Maszyny'}: 1
Tag{id=153, value='Rewolucja kulturalna w Chinach'}: 1
Tag{id=413, value='Praga (Czechy)'}: 1
Tag{id=102, value='Podróż poślubna'}: 1
Tag{id=73, value='Małżeństwo'}: 1
Tag{id=263, value='Lęk'}: 1
Tag{id=129, value='Awans społeczny'}: 1
Tag{id=95, value='Kolektywizacja rolnictwa'}: 1
Tag{id=311, value='Wojna domowa w Rwandzie (1990-1994)'}: 1
Tag{id=386, value='Terroryści'}: 1
Tag{id=89, value='Inwazja kosmitów'}: 1
Tag{id=244, value='Nowy Jork (Stany Zjednoczone)'}: 1
Tag{id=405, value='Planety'}: 1
